dieturn_id,image,conf,src_px,is_representative
dt_wsqqw3489,TPS_00027,0.9698,"414.4,390.9;411.8,357.0;332.8,363.2;335.5,397.1",True
dt_wsqqtde01,TPS_00679,0.9698,"621.6,281.5;621.6,243.4;570.9,243.4;571.0,281.6",True
dt_wsqqv2w11,TPS_00016,0.9697,"879.0,542.4;870.9,504.5;788.3,522.0;796.4,559.9",True
dt_wsqqvbb8c,TPS_00456,0.9697,"641.0,637.4;620.5,609.8;566.9,649.6;587.4,677.2",True
dt_wsqqkv5k8,TPS_00923,0.9697,"576.8,840.1;568.4,808.9;522.0,821.4;530.3,852.6",True
dt_wsqqt4t5p,TPS_00320,0.9696,"484.4,185.6;483.0,150.0;428.6,152.1;430.0,187.6",True
dt_wsqqt38fb,TPS_00345,0.9696,"568.1,569.8;562.5,537.3;498.6,548.3;504.2,580.8",True
dt_wsqqtb3b0,TPS_00307,0.9695,"837.9,406.6;836.3,361.6;800.9,362.9;802.5,407.9",True
dt_wsqqt4t1r,TPS_00320,0.9694,"518.7,688.4;518.0,650.8;465.9,651.7;466.6,689.4",True
dt_wsqqtk841,TPS_00691,0.9691,"867.3,560.0;883.8,514.3;852.7,503.0;836.1,548.7",True
dt_wsqqv0gmw,TPS_00956,0.9691,"933.7,332.1;911.1,275.2;876.0,289.2;898.6,346.0",True
dt_wsqqt256q,TPS_01532,0.9689,"461.4,478.0;469.3,437.4;420.4,427.9;412.4,468.5",True
dt_wsqqw2bnk,TPS_00216,0.9688,"585.5,788.9;583.5,749.0;503.3,753.2;505.4,793.0",True
dt_wsqqqwd4r,TPS_00138,0.9686,"517.8,249.6;507.7,214.2;422.2,238.7;432.3,274.1",True
dt_wsqqv0egw,TPS_00789,0.9686,"964.0,334.2;951.7,288.0;916.1,297.4;928.3,343.6",True
dt_wsqqt1gkm,TPS_00903,0.9686,"390.8,495.1;384.2,432.4;352.2,435.8;358.8,498.5",True
dt_wsqqqpzqd,TPS_01229,0.9686,"953.2,762.6;947.6,723.9;895.2,731.5;900.7,770.2",True
dt_wsqqqpzqd,TPS_02543,0.9684,"185.2,762.6;179.6,723.9;127.1,731.5;132.7,770.2",False
dt_wsqqqpzqd,TPS_02544,0.9684,"441.2,250.6;435.6,211.9;383.2,219.5;388.7,258.1",False
dt_wsqqqjxv3,TPS_02416,0.9686,"386.2,223.0;385.6,185.3;315.8,186.5;316.5,224.2",True
dt_wsqqv2jv5,TPS_00170,0.9684,"264.9,850.1;273.9,793.1;238.1,787.5;229.1,844.4",True
dt_wsqqt760c,TPS_00289,0.9684,"878.9,461.0;895.7,394.4;866.7,387.1;850.0,453.8",True
dt_wsqqt81xb,TPS_00714,0.9684,"326.1,492.4;326.0,447.3;293.0,447.3;293.1,492.5",True
dt_wsqqt6rxn,TPS_01069,0.9684,"442.8,805.2;441.6,766.1;355.9,768.8;357.2,807.9",True
dt_wsqqqjfjc,TPS_00127,0.9683,"628.7,885.8;627.6,848.4;554.8,850.5;555.9,887.9",True
dt_wsqqmtc3f,TPS_00304,0.9682,"151.1,516.2;149.0,463.7;113.8,465.1;115.9,517.6",True
dt_wsqqtdkrg,TPS_00609,0.9682,"516.6,344.9;515.0,309.2;446.8,312.2;448.4,347.9",True
dt_wsqqt0e8h,TPS_00772,0.9682,"309.5,442.1;330.6,369.6;296.0,359.5;274.8,432.0",True
dt_wsqqtm9yg,TPS_00141,0.9681,"751.2,695.0;778.1,633.4;749.0,620.7;722.1,682.2",True
dt_wsqqq4emw,TPS_00668,0.9681,"421.2,652.2;391.6,617.9;369.2,637.2;398.8,671.5",True
dt_wsqqmt321,TPS_00075,0.968,"636.1,385.3;636.0,346.2;565.4,346.4;565.5,385.5",True
dt_wsqqkswge,TPS_01068,0.968,"491.3,332.6;509.1,276.7;477.2,266.5;459.4,322.4",True
dt_wsqqmtuf4,TPS_01391,0.968,"445.9,440.7;442.1,396.7;410.5,399.4;414.3,443.4",True
dt_wsqqwse33,TPS_02194,0.968,"673.9,501.5;631.3,454.6;603.3,480.0;645.9,526.9",True
dt_wsqqqqed0,TPS_00308,0.9678,"579.1,589.2;578.6,551.3;511.2,552.3;511.7,590.2",True
dt_wsqqm5v87,TPS_00491,0.9678,"799.6,802.7;791.9,768.8;694.7,791.0;702.5,825.0",True
dt_wsqqw3kk4,TPS_01179,0.9678,"707.6,460.5;698.2,416.8;669.8,422.8;679.1,466.6",True
dt_wsqqmn5j9,TPS_02417,0.9678,"595.3,542.3;606.2,455.9;567.7,451.0;556.8,537.4",True
dt_wsqqwe2hd,TPS_00501,0.9677,"686.8,655.4;685.5,613.3;649.4,614.4;650.6,656.4",True
dt_wsqqwf5vr,TPS_00856,0.9677,"294.3,263.2;283.4,225.7;190.5,252.5;201.3,290.0",True
dt_wsqqmxs0e,TPS_02534,0.9677,"483.4,631.4;485.9,595.3;415.7,590.4;413.2,626.5",True
dt_wsqqmxs0e,TPS_01386,0.9668,"739.4,119.4;741.9,83.3;671.6,78.4;669.1,114.5",False
dt_wsqqwfemt,TPS_00381,0.9676,"106.9,559.5;84.0,475.6;47.0,485.7;69.9,569.6",True
dt_wsqqmxw1e,TPS_00469,0.9675,"479.9,582.7;472.1,547.3;424.0,557.9;431.8,593.3",True
dt_wsqqmqwc2,TPS_00506,0.9675,"277.3,493.0;288.6,437.7;257.0,431.3;245.7,486.5",True
dt_wsqqqnw6y,TPS_00605,0.9675,"479.8,842.5;479.4,805.6;400.1,806.5;400.6,843.4",True
dt_wsqqv15hf,TPS_00790,0.9675,"725.4,326.3;712.1,286.8;676.3,298.8;689.6,338.3",True
dt_wsqqkusen,TPS_00926,0.9675,"665.4,469.7;656.3,408.1;621.1,413.3;630.2,475.0",True
dt_wsqqmhj73,TPS_00104,0.9674,"629.9,316.4;648.2,244.3;610.8,234.7;592.5,306.9",True
dt_wsqqt3djt,TPS_00143,0.9674,"366.1,313.0;364.8,279.5;300.9,282.0;302.1,315.5",True
dt_wsqqmkvhg,TPS_00342,0.9674,"533.1,267.6;537.5,233.6;490.7,227.6;486.3,261.5",True
dt_wsqqt7w1f,TPS_01223,0.9674,"406.6,229.4;405.9,177.4;371.5,177.8;372.2,229.9",True
dt_wsqqt0y3s,TPS_00153,0.9673,"278.7,579.8;298.3,509.2;262.4,499.2;242.8,569.9",True
dt_wsqqtfcfm,TPS_00248,0.9673,"652.4,447.5;651.6,383.1;618.4,383.5;619.3,447.9",True
dt_wsqqmy3e9,TPS_00577,0.9673,"641.1,585.2;640.8,537.1;608.4,537.3;608.7,585.4",True
dt_wsqqt6s1x,TPS_00785,0.9672,"500.0,344.6;497.4,312.0;440.3,316.5;442.8,349.1",True
dt_wsqqv0ee5,TPS_00789,0.9672,"247.9,460.0;263.1,406.6;228.1,396.6;212.9,450.0",True
dt_wsqqwmvpn,TPS_00521,0.9671,"461.7,390.4;472.1,357.8;416.1,340.0;405.8,372.6",True
dt_wsqqkvwjx,TPS_00908,0.9671,"208.1,397.8;221.1,344.5;188.1,336.4;175.1,389.7",True
dt_wsqqwyhck,TPS_01025,0.9671,"605.4,489.0;581.9,460.5;543.6,492.0;567.0,520.5",True
dt_wsqqwyhck,TPS_02172,0.9561,"93.1,1001.3;70.7,972.6;31.7,1003.0;54.1,1031.7",False
dt_wsqqqpzpw,TPS_01229,0.9671,"718.9,484.2;711.9,448.8;652.1,460.6;659.1,496.0",True
dt_wsqqw84q3,TPS_00337,0.967,"625.4,611.3;622.7,573.7;538.2,579.8;540.9,617.4",True
dt_wsqqky4gs,TPS_02151,0.967,"564.7,294.4;561.6,256.3;509.5,260.4;512.6,298.6",True
dt_wsqqmzv7t,TPS_02509,0.967,"142.8,606.0;141.0,566.5;46.5,570.8;48.4,610.4",True
dt_wsqqmzv7t,TPS_01210,0.9669,"654.8,350.1;653.0,310.5;558.5,314.8;560.3,354.4",False
dt_wsqqtvxtu,TPS_00893,0.9669,"811.5,478.4;790.5,416.5;756.7,427.9;777.7,489.9",True
dt_wsqqjtp26,TPS_01940,0.9669,"462.8,413.9;457.9,368.7;378.6,377.5;383.6,422.6",True
dt_wsqqmmm6e,TPS_00048,0.9668,"238.7,446.9;277.1,376.3;247.9,360.4;209.5,431.1",True
dt_wsqqwt9dm,TPS_00108,0.9668,"634.9,393.6;654.6,352.1;621.5,336.4;601.8,377.9",True
dt_wsqqkuf09,TPS_00922,0.9668,"632.8,679.8;630.4,640.8;575.9,644.2;578.3,683.3",True
dt_wsqqkskc3,TPS_01067,0.9668,"613.2,598.9;606.2,563.1;554.5,573.3;561.6,609.0",True
dt_wsqqt6x8g,TPS_01069,0.9668,"274.5,324.8;274.2,287.7;205.1,288.3;205.4,325.4",True
dt_wsqqt0fj5,TPS_01582,0.9668,"503.3,609.8;499.3,531.0;462.5,532.9;466.6,611.7",True
dt_wsqqt4nf0,TPS_00906,0.9667,"291.2,646.0;292.5,573.7;258.8,573.1;257.6,645.5",True
dt_wsqqth5wz,TPS_01092,0.9667,"780.0,681.3;778.6,644.0;691.4,647.2;692.8,684.5",True
dt_wsqqwg9w9,TPS_00820,0.9666,"651.8,437.6;651.0,402.7;591.3,404.0;592.1,438.9",True
dt_wsqqw87c9,TPS_00744,0.9665,"895.5,212.0;875.7,162.4;840.8,176.3;860.7,226.0",True
dt_wsqqx3hw3,TPS_00367,0.9661,"389.4,321.4;388.8,285.1;325.8,286.2;326.4,322.5",True
dt_wsqqmxctm,TPS_00700,0.9661,"682.9,638.1;682.0,601.0;590.1,603.4;591.0,640.5",True
dt_wsqqtd1g5,TPS_00250,0.966,"776.8,632.1;776.6,565.0;740.9,565.2;741.2,632.3",True
dt_wsqqtvevd,TPS_00525,0.966,"431.6,292.3;426.6,258.0;364.0,267.2;369.0,301.5",True
dt_wsqqmwc95,TPS_02494,0.966,"280.2,897.6;280.5,855.4;173.8,854.6;173.4,896.8",True
dt_wsqqmwc95,TPS_00458,0.9657,"536.2,385.5;536.5,343.3;429.8,342.6;429.5,384.8",False
dt_wsqqt34hp,TPS_00344,0.9659,"778.3,468.8;784.1,386.2;749.2,383.7;743.4,466.4",True
dt_wsqqtr33s,TPS_00767,0.9657,"822.9,374.6;786.5,336.5;759.9,361.9;796.3,400.0",True
dt_wsqqnjj3x,TPS_00177,0.9656,"774.5,582.1;774.1,546.9;708.7,547.5;709.0,582.7",True
dt_wsqqtbcf4,TPS_00651,0.9656,"690.8,417.3;688.2,370.8;650.0,372.9;652.7,419.5",True
dt_wsqqqp793,TPS_00041,0.9655,"366.7,934.2;354.8,865.0;318.2,871.3;330.1,940.5",True
dt_wsqqt8dgt,TPS_00716,0.9655,"630.0,253.5;627.4,217.1;561.9,221.7;564.4,258.1",True
dt_wsqqtbt2j,TPS_01117,0.9655,"645.9,203.8;643.9,162.1;547.9,166.7;549.9,208.4",True
dt_wsqqtbt2j,TPS_01169,0.9652,"133.9,715.8;131.9,674.1;36.0,678.7;37.9,720.4",False
dt_wsqqqrkev,TPS_00145,0.9654,"110.6,960.3;80.3,917.6;47.1,941.1;77.3,983.8",True
dt_wsqqjxndp,TPS_00508,0.9654,"756.7,278.2;732.2,216.3;696.2,230.5;720.7,292.5",True
dt_wsqqx2v92,TPS_00497,0.9653,"582.2,397.1;577.6,364.2;513.9,373.0;518.5,405.9",True
dt_wsqqtpznc,TPS_00958,0.9653,"419.4,249.5;402.2,222.4;347.6,257.1;364.8,284.1",True
dt_wsqqvhhfb,TPS_02354,0.9652,"591.3,564.6;574.5,533.0;505.7,569.6;522.5,601.2",True
dt_wsqqt45m7,TPS_00319,0.9651,"234.6,485.6;234.6,423.2;198.0,423.3;198.0,485.6",True
dt_wsqqm8tdb,TPS_00113,0.965,"563.8,306.6;521.5,227.0;489.8,243.9;532.1,323.5",True
dt_wsqqmp8mx,TPS_00347,0.965,"202.3,497.7;219.3,435.9;187.1,427.0;170.1,488.8",True
dt_wsqqnnt31,TPS_00384,0.965,"660.2,475.6;639.5,421.0;600.7,435.7;621.3,490.3",True
dt_wsqqwns0z,TPS_00528,0.965,"811.6,703.5;797.4,671.5;722.7,704.6;736.9,736.6",True
dt_wsqqmgcq5,TPS_00617,0.965,"750.7,453.6;749.0,411.4;716.1,412.7;717.8,454.9",True
dt_wsqqmw16u,TPS_00014,0.9649,"320.0,237.7;311.9,192.6;215.5,209.9;223.6,255.0",True
dt_wsqqw2njz,TPS_00329,0.9649,"517.7,788.2;515.7,750.4;422.1,755.3;424.1,793.1",True
dt_wsqqwq53k,TPS_00523,0.9649,"593.7,799.4;593.4,761.6;522.7,762.2;523.0,800.0",True
dt_wsqqtd7n2,TPS_00679,0.9649,"592.1,752.6;589.2,716.5;538.2,720.5;541.0,756.6",True
dt_wsqqwvgcv,TPS_00911,0.9649,"848.1,378.9;893.8,324.5;870.6,305.0;824.9,359.4",True
dt_wsqqtdrre,TPS_01194,0.9649,"254.9,667.2;253.3,630.2;190.3,633.0;191.9,669.9",True
dt_wsqqnjj3f,TPS_00177,0.9648,"474.0,533.4;443.5,451.8;408.2,465.0;438.7,546.6",True
dt_wsqqv6j41,TPS_00955,0.9648,"621.1,726.3;612.2,691.4;560.6,704.5;569.5,739.5",True
dt_wsqqw74y4,TPS_02484,0.9648,"711.8,468.6;696.7,396.1;660.1,403.7;675.1,476.2",True
dt_wsqqw74y4,TPS_02482,0.9642,"199.7,980.6;184.8,908.2;148.1,915.7;163.0,988.1",False
dt_wsqqmxcmx,TPS_00700,0.9647,"238.7,565.0;239.7,502.4;204.8,501.8;203.8,564.5",True
dt_wsqqtd9bh,TPS_01199,0.9647,"849.2,34.2;846.3,-5.2;808.9,-2.4;811.9,37.0",True
dt_wsqqtd9bh,TPS_02499,0.9568,"847.5,802.9;854.9,706.0;814.4,702.9;807.1,799.9",False
dt_wsqqtd9bh,TPS_01201,0.9565,"335.5,546.9;342.8,450.0;302.5,447.0;295.1,543.8",False
dt_wsqqmw3m7,TPS_00015,0.9645,"263.2,614.8;266.2,550.8;229.2,549.0;226.1,613.0",True
dt_wsqqku3yk,TPS_00183,0.9645,"308.5,772.7;309.1,703.3;276.7,703.0;276.1,772.4",True
dt_wsqqmv3rb,TPS_00571,0.9645,"323.2,526.6;321.7,474.3;291.9,475.2;293.4,527.5",True
dt_wsqqqnees,TPS_00071,0.9644,"581.0,681.6;580.2,640.0;501.7,641.4;502.5,683.1",True
dt_wsqqt0jyj,TPS_00288,0.9644,"595.6,506.1;611.8,440.2;576.6,431.5;560.4,497.4",True
dt_wsqqmuhzk,TPS_00006,0.9642,"538.2,683.8;540.2,623.0;503.2,621.8;501.2,682.6",True
dt_wsqqqwuwp,TPS_00352,0.9642,"539.1,985.5;516.5,955.3;460.2,997.3;482.8,1027.6",True
dt_wsqqqp0v3,TPS_00580,0.964,"629.4,768.8;622.0,731.9;533.6,749.6;541.0,786.5",True
dt_wsqqnmx5w,TPS_00181,0.9639,"459.6,373.4;457.8,334.4;387.6,337.6;389.4,376.7",True
dt_wsqqqkgmt,TPS_00633,0.9639,"619.5,584.3;616.7,537.4;585.3,539.3;588.1,586.1",True
dt_wsqqkv907,TPS_00931,0.9639,"772.7,620.4;772.1,582.7;714.4,583.6;714.9,621.3",True
dt_wsqqqm1hn,TPS_00603,0.9638,"457.2,261.0;455.7,224.1;363.4,227.8;364.9,264.8",True
dt_wsqqqhutg,TPS_00592,0.9637,"744.4,502.2;769.9,459.0;743.2,443.2;717.7,486.5",True
dt_wsqquus80,TPS_01015,0.9637,"859.2,205.3;825.7,171.7;798.8,198.5;832.4,232.1",True
dt_wsqqnp32k,TPS_00233,0.9636,"582.9,540.0;599.9,498.0;565.2,484.0;548.3,526.0",True
dt_wsqqqxzds,TPS_00857,0.9636,"860.1,603.2;838.2,568.8;792.3,598.2;814.2,632.5",True
dt_wsqqw23vb,TPS_00095,0.9635,"569.1,821.6;567.5,785.3;525.5,787.1;527.0,823.4",True
dt_wsqqqwekf,TPS_00662,0.9634,"710.3,777.1;692.6,747.4;648.6,773.6;666.3,803.3",True
dt_wsqqmqn1r,TPS_00047,0.9633,"532.4,649.7;531.4,614.0;462.8,616.1;463.9,651.8",True
dt_wsqqqwd2d,TPS_00138,0.9633,"696.1,722.2;692.1,685.2;612.4,693.7;616.4,730.8",True
dt_wsqqqq5qf,TPS_00636,0.9633,"442.1,648.9;441.2,597.9;408.1,598.4;409.0,649.5",True
dt_wsqqku6n1,TPS_00183,0.9632,"651.2,807.7;649.3,773.4;581.4,777.1;583.3,811.4",True
dt_wsqqwe4z7,TPS_00799,0.9632,"777.2,897.8;764.6,862.0;700.1,884.8;712.7,920.6",True
dt_wsqqksvsv,TPS_00965,0.9632,"376.4,490.8;350.2,461.8;302.2,505.1;328.4,534.1",True
dt_wsqqmzvj1,TPS_01207,0.9632,"378.1,725.0;376.1,685.4;275.6,690.2;277.5,729.9",True
dt_wsqqmzvj1,TPS_02539,0.9632,"890.1,469.0;888.1,429.4;787.6,434.2;789.5,473.9",False
dt_wsqqmh80c,TPS_00824,0.9631,"398.4,82.0;353.1,25.7;319.4,52.8;364.6,109.1",True
dt_wsqqks7tb,TPS_00085,0.963,"865.1,382.7;820.9,336.6;793.6,362.8;837.9,408.9",True
dt_wsqqw9ggj,TPS_00364,0.963,"162.6,331.1;146.8,301.9;75.7,340.2;91.5,369.4",True
dt_wsqqthxf9,TPS_00691,0.963,"379.8,428.4;395.6,389.5;366.6,377.8;350.8,416.6",True
dt_wsqqmqn5m,TPS_00047,0.9629,"412.7,145.7;410.6,110.5;347.6,114.2;349.7,149.4",True
dt_wsqqv2vku,TPS_00188,0.9629,"336.4,503.2;323.4,453.0;283.8,463.3;296.8,513.4",True
dt_wsqqwbrrb,TPS_00191,0.9629,"813.2,497.0;799.0,430.4;761.7,438.3;775.9,505.0",True
dt_wsqqnnt0s,TPS_00384,0.9629,"343.3,630.2;329.6,566.6;292.0,574.7;305.6,638.3",True
dt_wsqqtdctw,TPS_01112,0.9629,"670.6,581.3;668.7,548.3;636.0,550.1;637.9,583.1",True
dt_wsqqqn8hn,TPS_00583,0.9628,"675.2,767.2;673.0,731.3;606.2,735.4;608.3,771.2",True
dt_wsqqtc197,TPS_00650,0.9628,"224.0,486.2;227.6,404.1;187.7,402.3;184.1,484.4",True
dt_wsqqwnw0h,TPS_00970,0.9628,"587.2,434.3;598.0,399.1;533.5,379.4;522.7,414.5",True
dt_wsqqt6ctq,TPS_00321,0.9627,"410.4,651.6;404.1,579.4;369.5,582.4;375.7,654.6",True
dt_wsqqt3wsu,TPS_01521,0.9627,"603.0,805.2;601.5,767.8;544.6,770.1;546.1,807.6",True
dt_wsqqkyj25,TPS_01697,0.9627,"494.0,273.4;497.1,233.9;443.1,229.7;440.0,269.2",True
dt_wsqqqnpzn,TPS_02412,0.9627,"727.7,608.8;727.3,570.0;641.2,570.9;641.6,609.7",True
dt_wsqqmqn75,TPS_00047,0.9626,"725.6,244.9;769.3,168.1;738.9,150.8;695.2,227.6",True
dt_wsqquxwg3,TPS_00174,0.9626,"328.4,579.1;383.3,513.6;351.1,486.6;296.2,552.0",True
