id,conf,lat,lon,intersection_id,corner,src_image,n_detections
dt_wsqqqjyr7,0.6912,25.0377153,121.5614801,TPS_00004,NW,TPS_00004,1
dt_wsqqkvd3r,0.6907,25.0353488,121.5012216,TPS_00919,NE,TPS_00919,1
dt_wsqqmzcsj,0.6901,25.0481713,121.5440614,TPS_00629,SE,TPS_00629,1
dt_wsqqw7xzy,0.6898,25.0693925,121.5746487,TPS_00032,NW,TPS_00032,1
dt_wsqqmr8nr,0.6893,25.047166,121.5201148,TPS_00037,NW,TPS_00037,2
dt_wsqqw4mr4,0.6891,25.062401,121.5600561,TPS_01193,NW,TPS_02487,2
dt_wsqqx3wy1,0.6877,25.0581388,121.617009,TPS_00846,NE,TPS_00846,1
dt_wsqqwv5pm,0.6831,25.077559,121.5900596,TPS_00971,NE,TPS_00971,1
dt_wsqqmxukz,0.6808,25.0482936,121.5369395,TPS_00306,SE,TPS_00306,1
dt_wsqqthew8,0.6794,25.0747023,121.5136356,TPS_01480,NW,TPS_01480,1
dt_wsqqx6fmm,0.6742,25.0648552,121.6110068,TPS_00118,SE,TPS_00118,1
dt_wsqqmy19b,0.6726,25.0381588,121.5438337,TPS_00010,NE,TPS_00010,1
dt_wsqqthpq8,0.6718,25.0719561,121.5187834,TPS_00684,NE,TPS_00684,1
dt_wsqqmxk8b,0.6707,25.044872,121.5369647,TPS_00300,NE,TPS_00300,1
dt_wsqqmt1rb,0.6676,25.0337049,121.5324843,TPS_00075,NE,TPS_00075,1
dt_wsqqme4xu,0.667,25.0227191,121.5343879,TPS_00270,NW,TPS_00270,1
dt_wsqqmytke,0.6664,25.0413676,121.5491189,TPS_01209,NE,TPS_02507,4
dt_wsqqmx68m,0.6655,25.0447885,121.5344366,TPS_00328,SW,TPS_00328,1
dt_wsqqmnwzy,0.6647,25.0419368,121.5183298,TPS_00124,NW,TPS_00124,1
dt_wsqqw1qwm,0.6647,25.0567845,121.5618791,TPS_00481,NE,TPS_00481,1
dt_wsqqx6hu2,0.6644,25.0605847,121.6141908,TPS_00854,NW,TPS_00854,1
dt_wsqqte99u,0.6621,25.068358,121.5330033,TPS_02497,SW,TPS_02498,2
dt_wsqqw9u4j,0.6612,25.0587879,121.58044,TPS_00364,SE,TPS_00364,1
dt_wsqqmzc68,0.6608,25.0479175,121.5434691,TPS_02536,NW,TPS_02536,1
dt_wsqqmwj10,0.6606,25.0380247,121.5376685,TPS_01101,SW,TPS_01101,1
dt_wsqqw9jrm,0.6603,25.0555687,121.5821464,TPS_01837,SW,TPS_01837,1
dt_wsqqjtz7x,0.6602,24.9931241,121.5410332,TPS_00084,NW,TPS_00084,1
dt_wsqqt05k8,0.6593,25.0496123,121.5132832,TPS_00082,NW,TPS_00082,1
dt_wsqqtprn2,0.6587,25.0897561,121.5184032,TPS_00788,SE,TPS_00788,1
dt_wsqqw80zt,0.6579,25.0501188,121.5759612,TPS_00736,NW,TPS_00736,1
dt_wsqqks2vu,0.6574,25.0292452,121.4880219,TPS_02195,NW,TPS_02195,1
dt_wsqqnpqx2,0.6539,25.0020162,121.5616626,TPS_01304,NW,TPS_01304,1
dt_wsqqmxyn9,0.6535,25.0485724,121.5390526,TPS_01402,NW,TPS_01402,1
dt_wsqqmytn2,0.6528,25.0416803,121.5486152,TPS_01208,SW,TPS_02508,2
dt_wsqqkuywx,0.6525,25.0321093,121.5070672,TPS_01055,NE,TPS_01055,1
dt_wsqqqpmnt,0.6511,25.0458331,121.5598576,TPS_02395,NW,TPS_02395,1
dt_wsqqqq8s9,0.6509,25.0413731,121.5644906,TPS_00129,NE,TPS_00129,1
dt_wsqqwmkpq,0.6492,25.078942,121.569513,TPS_01273,NE,TPS_01273,1
dt_wsqqt21q9,0.6481,25.0499528,121.5215693,TPS_00331,NW,TPS_00331,1
dt_wsqqt0k84,0.6471,25.0502393,121.5150931,TPS_02280,SW,TPS_02280,1
dt_wsqqv33uy,0.6463,25.1004661,121.5224362,TPS_01985,SW,TPS_01985,1
dt_wsqqkyzd3,0.6441,25.0423556,121.5081562,TPS_02422,NE,TPS_02422,1
dt_wsqqm6xje,0.6438,25.0195836,121.5295307,TPS_00643,NE,TPS_00643,1
dt_wsqqtfbd6,0.6427,25.0643389,121.5425519,TPS_00422,NE,TPS_00422,1
dt_wsqqkv6m7,0.6426,25.0346458,121.5010546,TPS_02098,NW,TPS_02098,1
dt_wsqqkyzc4,0.6422,25.0421565,121.5085493,TPS_00280,NE,TPS_00280,1
dt_wsqqt5wfk,0.6419,25.0684708,121.5182371,TPS_01225,NW,TPS_01225,1
dt_wsqqmr37g,0.6417,25.0453675,121.5216466,TPS_00173,NE,TPS_00173,1
dt_wsqqx2v88,0.6409,25.0530758,121.6152405,TPS_00497,NW,TPS_00497,1
dt_wsqqvgh12,0.6406,25.1094994,121.5472507,TPS_02394,SE,TPS_02394,1
dt_wsqqtq7s3,0.6402,25.0838928,121.5246446,TPS_00343,SW,TPS_00343,1
dt_wsqqt17rr,0.6398,25.0569617,121.5135883,TPS_00712,SW,TPS_00712,2
dt_wsqqwm5xq,0.6379,25.0775706,121.5687867,TPS_00368,NE,TPS_00368,1
dt_wsqqmt5wp,0.6369,25.0333883,121.5358906,TPS_00305,SE,TPS_00305,1
dt_wsqqt2592,0.6361,25.0490522,121.5246134,TPS_01532,SE,TPS_01532,1
dt_wsqqmy37b,0.6335,25.0398816,121.5434732,TPS_00577,NW,TPS_00577,1
dt_wsqqtf3xq,0.6331,25.0624717,121.5440883,TPS_02438,SW,TPS_02438,1
dt_wsqqtrd1b,0.6293,25.0903289,121.5225245,TPS_02218,SE,TPS_02218,1
dt_wsqqw2588,0.6293,25.0489368,121.5685351,TPS_02464,SW,TPS_02464,1
dt_wsqqkuyu2,0.6284,25.031742,121.5071053,TPS_01055,SE,TPS_01055,1
dt_wsqqt88e8,0.6225,25.0521911,121.5314762,TPS_00715,NW,TPS_00715,2
dt_wsqqkv91u,0.6189,25.0354281,121.4993605,TPS_02424,NW,TPS_02424,1
dt_wsqqwc9cd,0.616,25.0573373,121.5882138,TPS_01841,SE,TPS_01841,1
dt_wsqqt3tvg,0.6157,25.0580832,121.5278371,TPS_01491,NE,TPS_01491,1
dt_wsqqkyhmr,0.6146,25.0387792,121.50395,TPS_02171,NE,TPS_02171,1
dt_wsqqmy9rh,0.6139,25.0418055,121.5436786,TPS_00105,NW,TPS_00105,1
dt_wsqqjwptb,0.6125,24.9949039,121.5410705,TPS_00375,SW,TPS_00375,1
dt_wsqqtpts8,0.6111,25.0908186,121.5163819,TPS_00154,SW,TPS_00154,1
dt_wsqqjz5c0,0.611,24.9995933,121.5469078,TPS_00230,NW,TPS_00230,1
dt_wsqqt0v76,0.6052,25.0535302,121.5161181,TPS_00486,SW,TPS_00486,1
dt_wsqquwz85,0.6032,25.1298666,121.4972844,TPS_01013,NE,TPS_01013,1
dt_wsqqwjd8h,0.6028,25.0790794,121.5563458,TPS_00869,SE,TPS_00869,1
dt_wsqqw2127,0.599,25.0488889,121.5656045,TPS_00009,NE,TPS_00009,1
dt_wsqqmx2n9,0.599,25.0458508,121.530836,TPS_00050,SE,TPS_00050,1
dt_wsqqmrzm9,0.5973,25.0484236,121.5297778,TPS_00325,NE,TPS_00325,1
dt_wsqqn5ews,0.5966,24.9813,121.5577344,TPS_02311,NW,TPS_02311,1
dt_wsqqt0un5,0.5962,25.0539813,121.5144388,TPS_00156,SW,TPS_00156,1
dt_wsqqqj6rg,0.5962,25.0350932,121.5559946,TPS_01362,SE,TPS_01362,1
dt_wsqqjwr7x,0.5952,24.9958912,121.5410317,TPS_00509,SW,TPS_00509,1
dt_wsqqmwcdq,0.5946,25.0423606,121.5330866,TPS_00458,NE,TPS_00458,1
dt_wsqquj9dd,0.5926,25.1234438,121.4669924,TPS_01764,NE,TPS_01764,1
dt_wsqqmj6xf,0.5903,25.0350914,121.5123251,TPS_00103,SW,TPS_00103,1
dt_wsqqq0knx,0.59,25.0073981,121.5585683,TPS_00327,NW,TPS_00327,1
dt_wsqqx9bs2,0.5897,25.0591818,121.6193763,TPS_00849,NW,TPS_00849,1
dt_wsqqgvxs4,0.5884,25.1237111,121.4642729,TPS_00489,SW,TPS_00489,1
dt_wsqqqw882,0.5867,25.0406717,121.57542,TPS_00654,SE,TPS_00654,1
dt_wsqqt644w,0.5862,25.0602805,121.5227995,TPS_00324,SW,TPS_00324,1
dt_wsqqmxs0z,0.585,25.046238,121.5365966,TPS_01386,NE,TPS_01386,1
dt_wsqqmc3pz,0.5831,25.0131131,121.5434641,TPS_02068,NE,TPS_02068,1
dt_wsqqmfzc2,0.5814,25.0202239,121.5523935,TPS_01457,SW,TPS_01457,1
dt_wsqqnmmhq,0.5799,24.9905489,121.5708803,TPS_01157,NE,TPS_02432,2
dt_wsqqkssvc,0.5798,25.0306096,121.4933854,TPS_00964,NW,TPS_00964,1
dt_wsqqwt7s3,0.5792,25.0783969,121.5795614,TPS_00498,SW,TPS_00498,1
dt_wsqqve86u,0.577,25.1125025,121.5313133,TPS_00514,NE,TPS_00514,1
dt_wsqqmvptq,0.5768,25.0332924,121.5523363,TPS_00038,NW,TPS_00038,1
dt_wsqqv1ddj,0.5762,25.1013755,121.5124677,TPS_00402,SE,TPS_00402,1
dt_wsqqtyqd1,0.5751,25.0835077,121.5507521,TPS_00891,SW,TPS_00891,1
dt_wsqqvbbd8,0.5675,25.0973421,121.542473,TPS_00456,NW,TPS_00456,2
dt_wsqqwbq6e,0.5651,25.0506388,121.5944296,TPS_00844,NE,TPS_00844,1
dt_wsqqunef9,0.5638,25.1289455,121.4700399,TPS_01866,NE,TPS_01866,1
dt_wsqqmr4xe,0.5633,25.0446551,121.5233568,TPS_00726,SE,TPS_00727,2
dt_wsqqw4pb5,0.5632,25.0598188,121.5635156,TPS_00701,SE,TPS_00701,1
dt_wsqqtfb9f,0.563,25.0642553,121.5425513,TPS_00422,SE,TPS_00422,1
dt_wsqqmq4sy,0.5608,25.0386888,121.5234724,TPS_00373,NE,TPS_00373,1
dt_wsqqmjd97,0.5603,25.0353332,121.5123695,TPS_00103,NW,TPS_00103,1
dt_wsqqw751m,0.5603,25.0655339,121.568068,TPS_02364,NE,TPS_02364,1
dt_wsqqwewgt,0.5553,25.0686781,121.5842317,TPS_00536,SW,TPS_00536,1
dt_wsqqkvvfk,0.5498,25.0368976,121.5058909,TPS_01106,SE,TPS_01106,1
dt_wsqqtbcd4,0.5485,25.0532964,121.5439218,TPS_00651,SW,TPS_00651,1
dt_wsqqtfckc,0.547,25.0647662,121.5435134,TPS_01434,SW,TPS_01434,1
dt_wsqqwbrr8,0.5453,25.0515133,121.5956803,TPS_00191,NE,TPS_00191,1
dt_wsqqqquxn,0.5439,25.043169,121.5701949,TPS_01543,SW,TPS_01543,1
dt_wsqqq52c3,0.5359,25.0229911,121.5538211,TPS_00641,SW,TPS_00641,1
dt_wsqqwe6bc,0.5353,25.0668234,121.5785478,TPS_00799,NE,TPS_00799,1
dt_wsqqtd89t,0.5351,25.0628326,121.5316938,TPS_00678,NW,TPS_00678,1
dt_wsqqv25ue,0.5299,25.0935731,121.5250915,TPS_02111,SE,TPS_02111,2
dt_wsqqmn1w2,0.5281,25.0389203,121.5108533,TPS_02214,SW,TPS_02214,1
dt_wsqqmhs95,0.5274,25.0297777,121.5151379,TPS_00490,SW,TPS_00490,1
dt_wsqqm5mfn,0.5274,25.0231043,121.5169702,TPS_01049,NE,TPS_01049,1
dt_wsqqtr3vh,0.5257,25.0895288,121.5223535,TPS_01314,SW,TPS_01314,1
dt_wsqqnmsdg,0.5235,24.9916292,121.5700661,TPS_00387,SE,TPS_00387,1
dt_wsqqmyv7v,0.5224,25.0426232,121.5491808,TPS_00061,NE,TPS_00061,1
dt_wsqqmgzpq,0.5204,25.0267361,121.5516238,TPS_00638,NW,TPS_00638,1
dt_wsqqsbr3n,0.5191,25.0503968,121.5080417,TPS_00991,SW,TPS_00991,1
dt_wsqqw9x8y,0.5183,25.0572016,121.5852927,TPS_01843,SW,TPS_01843,1
dt_wsqqw74zk,0.5182,25.0665813,121.5677004,TPS_02484,NE,TPS_02484,1
