id,lat,lon,n_nodes,source,zoom,grid,tile_x0,tile_y0,blank_tiles,status,path
TPS_00074,25.048199,121.552586,5,taipei_udd_Image_2025,21,4,1756669,897775,0,ok,taipei_z21/images/TPS_00074.jpg
TPS_00073,25.033041,121.559566,5,taipei_udd_Image_2025,21,4,1756710,897872,0,ok,taipei_z21/images/TPS_00073.jpg
TPS_00075,25.033699,121.532466,5,taipei_udd_Image_2025,21,4,1756552,897868,0,ok,taipei_z21/images/TPS_00075.jpg
TPS_00076,25.066566,121.53329,5,taipei_udd_Image_2025,21,4,1756557,897656,0,ok,taipei_z21/images/TPS_00076.jpg
TPS_00077,25.05607,121.544119,5,taipei_udd_Image_2025,21,4,1756620,897724,0,ok,taipei_z21/images/TPS_00077.jpg
TPS_00078,25.063013,121.513602,5,taipei_udd_Image_2025,21,4,1756442,897679,0,ok,taipei_z21/images/TPS_00078.jpg
TPS_00079,25.061928,121.554591,5,taipei_udd_Image_2025,21,4,1756681,897686,0,ok,taipei_z21/images/TPS_00079.jpg
TPS_00080,25.049845,121.571033,5,taipei_udd_Image_2025,21,4,1756777,897764,0,ok,taipei_z21/images/TPS_00080.jpg
TPS_00081,25.030613,121.533608,5,taipei_udd_Image_2025,21,4,1756559,897888,0,ok,taipei_z21/images/TPS_00081.jpg
TPS_00082,25.049435,121.513325,5,taipei_udd_Image_2025,21,4,1756440,897767,0,ok,taipei_z21/images/TPS_00082.jpg
TPS_00084,24.993045,121.541092,5,taipei_udd_Image_2025,21,4,1756602,898129,0,ok,taipei_z21/images/TPS_00084.jpg
TPS_00083,25.055829,121.579002,5,taipei_udd_Image_2025,21,4,1756823,897725,0,ok,taipei_z21/images/TPS_00083.jpg
TPS_00085,25.029182,121.491497,5,taipei_udd_Image_2025,21,4,1756313,897897,0,ok,taipei_z21/images/TPS_00085.jpg
TPS_00086,25.038171,121.517446,5,taipei_udd_Image_2025,21,4,1756464,897839,0,ok,taipei_z21/images/TPS_00086.jpg
TPS_00087,25.076139,121.571175,5,taipei_udd_Image_2025,21,4,1756777,897595,0,ok,taipei_z21/images/TPS_00087.jpg
