id,lat,lon,n_nodes,source,zoom,grid
TPS_00226,24.986623,121.560925,4,taipei_udd_Image_2025,21,4
TPS_00227,24.98767,121.560554,4,taipei_udd_Image_2025,21,4
TPS_00228,24.996126,121.544684,4,taipei_udd_Image_2025,21,4
TPS_00229,24.99512,121.544682,4,taipei_udd_Image_2025,21,4
TPS_00230,24.999336,121.547259,4,taipei_udd_Image_2025,21,4
TPS_00231,25.000818,121.54982,4,taipei_udd_Image_2025,21,4
TPS_00232,25.001543,121.552593,4,taipei_udd_Image_2025,21,4
TPS_00233,25.000844,121.554576,4,taipei_udd_Image_2025,21,4
TPS_00234,25.062071,121.546676,4,taipei_udd_Image_2025,21,4
TPS_00235,25.063341,121.547146,4,taipei_udd_Image_2025,21,4
TPS_00236,25.063357,121.542539,4,taipei_udd_Image_2025,21,4
TPS_00237,25.051985,121.563777,4,taipei_udd_Image_2025,21,4
TPS_00238,25.053767,121.557715,4,taipei_udd_Image_2025,21,4
TPS_00239,25.053477,121.555096,4,taipei_udd_Image_2025,21,4
TPS_00240,25.057731,121.54623,4,taipei_udd_Image_2025,21,4
TPS_00241,25.056067,121.542166,4,taipei_udd_Image_2025,21,4
TPS_00242,25.056154,121.539133,4,taipei_udd_Image_2025,21,4
TPS_00243,25.051631,121.555215,4,taipei_udd_Image_2025,21,4
TPS_00244,25.050071,121.565378,4,taipei_udd_Image_2025,21,4
TPS_00245,25.056253,121.55561,4,taipei_udd_Image_2025,21,4
TPS_00246,25.057829,121.550514,4,taipei_udd_Image_2025,21,4
TPS_00247,25.063371,121.544248,4,taipei_udd_Image_2025,21,4
TPS_00248,25.064305,121.544257,4,taipei_udd_Image_2025,21,4
TPS_00249,25.053629,121.533041,4,taipei_udd_Image_2025,21,4
TPS_00250,25.060357,121.533223,4,taipei_udd_Image_2025,21,4
TPS_00251,25.06368,121.537037,4,taipei_udd_Image_2025,21,4
TPS_00252,25.101228,121.503637,4,taipei_udd_Image_2025,21,4
TPS_00253,25.06807,121.538231,4,taipei_udd_Image_2025,21,4
TPS_00254,25.068651,121.512275,4,taipei_udd_Image_2025,21,4
TPS_00255,25.068597,121.515877,4,taipei_udd_Image_2025,21,4
TPS_00256,25.05625,121.552966,4,taipei_udd_Image_2025,21,4
TPS_00257,25.060172,121.551226,4,taipei_udd_Image_2025,21,4
TPS_00258,25.064331,121.565759,4,taipei_udd_Image_2025,21,4
TPS_00259,25.063997,121.581849,4,taipei_udd_Image_2025,21,4
TPS_00260,25.064191,121.580046,4,taipei_udd_Image_2025,21,4
TPS_00261,25.064287,121.540949,4,taipei_udd_Image_2025,21,4
TPS_00262,25.081427,121.565216,4,taipei_udd_Image_2025,21,4
TPS_00263,25.038557,121.515303,4,taipei_udd_Image_2025,21,4
TPS_00264,25.026794,121.521055,3,taipei_udd_Image_2025,21,4
TPS_00265,25.02983,121.520415,3,taipei_udd_Image_2025,21,4
TPS_00266,25.043809,121.616188,3,taipei_udd_Image_2025,21,4
TPS_00267,25.084126,121.595131,3,taipei_udd_Image_2025,21,4
TPS_00268,25.036818,121.508041,3,taipei_udd_Image_2025,21,4
TPS_00269,25.038308,121.525203,3,taipei_udd_Image_2025,21,4
TPS_00270,25.022672,121.534466,3,taipei_udd_Image_2025,21,4
TPS_00271,24.997176,121.540987,3,taipei_udd_Image_2025,21,4
TPS_00272,25.104041,121.524866,3,taipei_udd_Image_2025,21,4
TPS_00273,25.1025,121.525504,3,taipei_udd_Image_2025,21,4
TPS_00274,25.077319,121.550871,3,taipei_udd_Image_2025,21,4
TPS_00275,25.006084,121.558155,3,taipei_udd_Image_2025,21,4
TPS_00276,25.005578,121.566978,3,taipei_udd_Image_2025,21,4
TPS_00277,25.055145,121.616655,3,taipei_udd_Image_2025,21,4
TPS_00278,24.980045,121.554075,3,taipei_udd_Image_2025,21,4
TPS_00279,25.015029,121.532347,3,taipei_udd_Image_2025,21,4
TPS_00280,25.042,121.508459,3,taipei_udd_Image_2025,21,4
TPS_00281,25.013128,121.539507,3,taipei_udd_Image_2025,21,4
TPS_00282,25.001454,121.565634,3,taipei_udd_Image_2025,21,4
TPS_00283,25.005695,121.559961,3,taipei_udd_Image_2025,21,4
TPS_00284,25.138524,121.49126,3,taipei_udd_Image_2025,21,4
TPS_00285,25.125728,121.498534,3,taipei_udd_Image_2025,21,4
TPS_00286,25.033334,121.545975,3,taipei_udd_Image_2025,21,4
TPS_00287,25.038765,121.521608,3,taipei_udd_Image_2025,21,4
TPS_00288,25.049809,121.516803,3,taipei_udd_Image_2025,21,4
TPS_00289,25.066844,121.522433,3,taipei_udd_Image_2025,21,4
TPS_00290,25.118089,121.534658,3,taipei_udd_Image_2025,21,4
TPS_00291,25.11829,121.530117,3,taipei_udd_Image_2025,21,4
TPS_00292,25.072775,121.57317,3,taipei_udd_Image_2025,21,4
TPS_00293,25.074627,121.572337,3,taipei_udd_Image_2025,21,4
TPS_00294,25.033467,121.539477,3,taipei_udd_Image_2025,21,4
TPS_00295,25.041629,121.541534,3,taipei_udd_Image_2025,21,4
TPS_00296,25.033506,121.537588,3,taipei_udd_Image_2025,21,4
TPS_00297,25.033421,121.541898,3,taipei_udd_Image_2025,21,4
TPS_00298,25.033166,121.554291,3,taipei_udd_Image_2025,21,4
TPS_00299,25.029832,121.557605,3,taipei_udd_Image_2025,21,4
TPS_00300,25.044752,121.536908,3,taipei_udd_Image_2025,21,4
TPS_00301,25.072209,121.53153,3,taipei_udd_Image_2025,21,4
TPS_00302,25.035914,121.561281,3,taipei_udd_Image_2025,21,4
TPS_00303,25.033445,121.532917,3,taipei_udd_Image_2025,21,4
TPS_00304,25.036708,121.532789,3,taipei_udd_Image_2025,21,4
TPS_00305,25.033548,121.535875,3,taipei_udd_Image_2025,21,4
TPS_00306,25.048394,121.536528,3,taipei_udd_Image_2025,21,4
TPS_00307,25.050108,121.543976,3,taipei_udd_Image_2025,21,4
TPS_00308,25.041023,121.568558,3,taipei_udd_Image_2025,21,4
TPS_00309,25.024508,121.550314,3,taipei_udd_Image_2025,21,4
TPS_00310,24.999775,121.575642,3,taipei_udd_Image_2025,21,4
TPS_00311,25.067141,121.543289,3,taipei_udd_Image_2025,21,4
TPS_00312,25.033593,121.574567,3,taipei_udd_Image_2025,21,4
TPS_00313,25.019018,121.546495,3,taipei_udd_Image_2025,21,4
TPS_00314,25.017221,121.544343,3,taipei_udd_Image_2025,21,4
TPS_00315,25.033726,121.52998,3,taipei_udd_Image_2025,21,4
TPS_00316,25.038235,121.529393,3,taipei_udd_Image_2025,21,4
TPS_00317,25.076285,121.509482,3,taipei_udd_Image_2025,21,4
TPS_00318,25.07623,121.508844,3,taipei_udd_Image_2025,21,4
TPS_00319,25.060789,121.513538,3,taipei_udd_Image_2025,21,4
TPS_00320,25.062962,121.515967,3,taipei_udd_Image_2025,21,4
TPS_00321,25.064905,121.522257,3,taipei_udd_Image_2025,21,4
TPS_00322,25.065925,121.518379,3,taipei_udd_Image_2025,21,4
TPS_00323,25.05662,121.551908,3,taipei_udd_Image_2025,21,4
TPS_00324,25.060339,121.522964,3,taipei_udd_Image_2025,21,4
TPS_00325,25.048342,121.529753,3,taipei_udd_Image_2025,21,4
TPS_00326,25.006726,121.558602,3,taipei_udd_Image_2025,21,4
TPS_00327,25.007398,121.558701,3,taipei_udd_Image_2025,21,4
TPS_00328,25.044957,121.534651,3,taipei_udd_Image_2025,21,4
TPS_00329,25.049981,121.572274,3,taipei_udd_Image_2025,21,4
TPS_00330,25.047887,121.52061,3,taipei_udd_Image_2025,21,4
TPS_00331,25.04983,121.521621,3,taipei_udd_Image_2025,21,4
TPS_00332,25.045804,121.519753,3,taipei_udd_Image_2025,21,4
TPS_00333,25.036745,121.580511,3,taipei_udd_Image_2025,21,4
TPS_00334,25.048401,121.580096,3,taipei_udd_Image_2025,21,4
TPS_00335,25.045469,121.577818,3,taipei_udd_Image_2025,21,4
TPS_00336,25.04529,121.582686,3,taipei_udd_Image_2025,21,4
TPS_00337,25.05004,121.577763,3,taipei_udd_Image_2025,21,4
TPS_00338,25.001658,121.595007,3,taipei_udd_Image_2025,21,4
TPS_00339,25.002908,121.587466,3,taipei_udd_Image_2025,21,4
TPS_00340,25.001073,121.589223,3,taipei_udd_Image_2025,21,4
TPS_00341,25.003163,121.586569,3,taipei_udd_Image_2025,21,4
TPS_00342,25.031694,121.526832,3,taipei_udd_Image_2025,21,4
TPS_00343,25.084225,121.524734,3,taipei_udd_Image_2025,21,4
TPS_00344,25.054991,121.522706,3,taipei_udd_Image_2025,21,4
TPS_00345,25.057674,121.520722,3,taipei_udd_Image_2025,21,4
TPS_00346,25.083905,121.511946,3,taipei_udd_Image_2025,21,4
TPS_00347,25.047025,121.509677,3,taipei_udd_Image_2025,21,4
TPS_00348,25.09929,121.536521,3,taipei_udd_Image_2025,21,4
TPS_00349,25.028674,121.491863,3,taipei_udd_Image_2025,21,4
TPS_00350,25.035296,121.497577,3,taipei_udd_Image_2025,21,4
TPS_00351,25.044736,121.581262,3,taipei_udd_Image_2025,21,4
TPS_00352,25.043249,121.581217,3,taipei_udd_Image_2025,21,4
